now, expect, last_fin, now-expect, now-last_fin
8492697354068773, 8492697353738778, 8492697344120090, 329995, 9948683
8492697364103822, 8492697363738778, 8492697354093484, 365044, 10010338
8492697374070315, 8492697373738778, 8492697364128762, 331537, 9941553
8492697384099893, 8492697383738778, 8492697374095012, 361115, 10004881
8492697394083127, 8492697393738778, 8492697384124734, 344349, 9958393
8492697404126679, 8492697403738778, 8492697394111691, 387901, 10014988
8492697414068967, 8492697413738778, 8492697404156946, 330189, 9912021
8492697424113210, 8492697423738778, 8492697414094002, 374432, 10019208
8492697434067366, 8492697433738778, 8492697424142691, 328588, 9924675
8492697444114091, 8492697443738778, 8492697434091523, 375313, 10022568
